Nombre,Codigo,Categoria,Cantidad,Ubicacion,Caracteristicas
Resistencia 10k Ohm 1/4W,INS-001,Componentes Analógicos,500,Laboratorio de Electrónica,Resistencia de carbón 5% tolerancia 1/4 de vatios
Resistencia 1k Ohm 1/4W,INS-002,Componentes Analógicos,300,Laboratorio de Electrónica,Resistencia de carbón 5% tolerancia
Resistencia 100 Ohm 1/4W,INS-003,Componentes Analógicos,250,Laboratorio de Electrónica,Resistencia de carbón 5% tolerancia
Resistencia 4.7k Ohm 1/4W,INS-004,Componentes Analógicos,200,Laboratorio de Electrónica,Resistencia de carbón 5% tolerancia
Resistencia 220 Ohm 1/4W,INS-005,Componentes Analógicos,350,Laboratorio de Electrónica,Resistencia de carbón 5% tolerancia
Resistencia 47k Ohm 1/4W,INS-006,Componentes Analógicos,180,Laboratorio de Electrónica,Resistencia de carbón 5% tolerancia
Resistencia 330 Ohm 1/4W,INS-007,Componentes Analógicos,400,Laboratorio de Electrónica,Resistencia de carbón 5% tolerancia
Resistencia 1M Ohm 1/4W,INS-008,Componentes Analógicos,150,Laboratorio de Electrónica,Resistencia de carbón 5% tolerancia
Capacitor Cerámico 100nF,INS-009,Componentes Analógicos,400,Laboratorio de Electrónica,Capacitor cerámico 100nF 50V
Capacitor Cerámico 10nF,INS-010,Componentes Analógicos,350,Laboratorio de Electrónica,Capacitor cerámico 10nF 50V
Capacitor Cerámico 1nF,INS-011,Componentes Analógicos,300,Laboratorio de Electrónica,Capacitor cerámico 1nF 50V
Capacitor Electrolítico 100uF,INS-012,Componentes Analógicos,200,Laboratorio de Electrónica,Capacitor electrolítico 100uF 25V
Capacitor Electrolítico 10uF,INS-013,Componentes Analógicos,250,Laboratorio de Electrónica,Capacitor electrolítico 10uF 25V
Capacitor Electrolítico 1000uF,INS-014,Componentes Analógicos,150,Laboratorio de Electrónica,Capacitor electrolítico 1000uF 16V
Capacitor Electrolítico 47uF,INS-015,Componentes Analógicos,180,Laboratorio de Electrónica,Capacitor electrolítico 47uF 25V
Diodo 1N4007,INS-016,Componentes Analógicos,300,Laboratorio de Electrónica,Diodo rectificador 1A 1000V
Diodo 1N4148,INS-017,Componentes Analógicos,400,Laboratorio de Electrónica,Diodo de conmutación rápida
LED Rojo 5mm,INS-018,Componentes Analógicos,500,Laboratorio de Electrónica,LED rojo 5mm 20mA
LED Verde 5mm,INS-019,Componentes Analógicos,450,Laboratorio de Electrónica,LED verde 5mm 20mA
LED Azul 5mm,INS-020,Componentes Analógicos,400,Laboratorio de Electrónica,LED azul 5mm 20mA
LED Amarillo 5mm,INS-021,Componentes Analógicos,380,Laboratorio de Electrónica,LED amarillo 5mm 20mA
Transistor NPN 2N2222,INS-022,Componentes Analógicos,200,Laboratorio de Electrónica,Transistor NPN 40V 800mA
Transistor NPN BC547,INS-023,Componentes Analógicos,250,Laboratorio de Electrónica,Transistor NPN 45V 100mA
Transistor PNP 2N3906,INS-024,Componentes Analógicos,180,Laboratorio de Electrónica,Transistor PNP 40V 200mA
Potenciómetro 10k Ohm,INS-025,Componentes Analógicos,120,Laboratorio de Electrónica,Potenciómetro lineal 10k Ohm
Potenciómetro 100k Ohm,INS-026,Componentes Analógicos,100,Laboratorio de Electrónica,Potenciómetro lineal 100k Ohm
Potenciómetro 1M Ohm,INS-027,Componentes Analógicos,80,Laboratorio de Electrónica,Potenciómetro lineal 1M Ohm
Circuito Integrado 555,INS-028,Componentes Analógicos,150,Laboratorio de Electrónica,Timer 555 DIP-8
Circuito Integrado LM358,INS-029,Componentes Analógicos,120,Laboratorio de Electrónica,Amplificador operacional dual
Circuito Integrado LM741,INS-030,Componentes Analógicos,140,Laboratorio de Electrónica,Amplificador operacional
Circuito Integrado LM7805,INS-031,Componentes Analógicos,160,Laboratorio de Electrónica,Regulador de voltaje 5V
Circuito Integrado LM7812,INS-032,Componentes Analógicos,100,Laboratorio de Electrónica,Regulador de voltaje 12V
Cristal de Cuarzo 16MHz,INS-033,Componentes Digitales,80,Laboratorio de Electrónica,Cristal oscilador 16MHz
Cristal de Cuarzo 8MHz,INS-034,Componentes Digitales,90,Laboratorio de Electrónica,Cristal oscilador 8MHz
Cristal de Cuarzo 4MHz,INS-035,Componentes Digitales,70,Laboratorio de Electrónica,Cristal oscilador 4MHz
Conector USB Tipo A,INS-036,Componentes Digitales,200,Laboratorio de Electrónica,Conector USB hembra tipo A
Conector USB Tipo B,INS-037,Componentes Digitales,180,Laboratorio de Electrónica,Conector USB hembra tipo B
Conector Jack DC 2.1mm,INS-038,Componentes Analógicos,220,Laboratorio de Electrónica,Jack de alimentación DC 2.1mm
Conector Terminal Block 2P,INS-039,Componentes Analógicos,150,Laboratorio de Electrónica,Bloque terminal 2 pines
Conector Terminal Block 3P,INS-040,Componentes Analógicos,130,Laboratorio de Electrónica,Bloque terminal 3 pines
Conector Pin Header 40P,INS-041,Componentes Digitales,100,Laboratorio de Electrónica,Header macho 40 pines
Conector Pin Socket 40P,INS-042,Componentes Digitales,90,Laboratorio de Electrónica,Socket hembra 40 pines
Cable UTP Cat5e,INS-043,Componentes Digitales,50,Laboratorio de Electrónica,Cable de red UTP categoría 5e por metro
Cable UTP Cat6,INS-044,Componentes Digitales,40,Laboratorio de Electrónica,Cable de red UTP categoría 6 por metro
Cable Protoboard Macho-Macho,INS-045,Componentes Digitales,300,Laboratorio de Electrónica,Cable jumper macho-macho 20cm
Cable Protoboard Macho-Hembra,INS-046,Componentes Digitales,280,Laboratorio de Electrónica,Cable jumper macho-hembra 20cm
Cable Protoboard Hembra-Hembra,INS-047,Componentes Digitales,260,Laboratorio de Electrónica,Cable jumper hembra-hembra 20cm
Pulsador Táctil 4P,INS-048,Componentes Digitales,200,Laboratorio de Electrónica,Pulsador táctil momentáneo 4 pines
Switch Deslizante SPDT,INS-049,Componentes Analógicos,180,Laboratorio de Electrónica,Switch deslizante 3 posiciones
Switch Toggle ON-ON,INS-050,Componentes Analógicos,120,Laboratorio de Electrónica,Switch toggle 2 posiciones
Zócalo IC DIP-8,INS-051,Componentes Digitales,200,Laboratorio de Electrónica,Zócalo para circuito integrado DIP-8
Zócalo IC DIP-14,INS-052,Componentes Digitales,180,Laboratorio de Electrónica,Zócalo para circuito integrado DIP-14
Zócalo IC DIP-16,INS-053,Componentes Digitales,160,Laboratorio de Electrónica,Zócalo para circuito integrado DIP-16
Microcontrolador ATmega328P,INS-054,Componentes Digitales,80,Laboratorio de Electrónica,Microcontrolador AVR 8-bit DIP-28
