numActivo,numSerie,marca,modelo,categoria,estadoActivo,caracteristicas,observaciones
1001,FLUKE-SN001,Fluke,87V,Multímetros,disponible,"True RMS, 4.5 dígitos, medición de temperatura, rango automático, precisión 0.05%",Multímetro digital profesional en excelente estado
1002,FLUKE-SN002,Fluke,115,Multímetros,disponible,"True RMS, medición de corriente AC/DC, diodo, continuidad, rango manual",Multímetro compacto para uso general
1003,TEK-SN003,Tektronix,TBS1052B,Osciloscopios,disponible,"2 canales, 50 MHz, 1 GS/s, pantalla de 7 pulgadas, triggering automático",Osciloscopio digital de 2 canales
1004,RIG-SN004,Rigol,DS1054Z,Osciloscopios,disponible,"4 canales, 50 MHz (actualizable a 100 MHz), 1 GS/s, memoria 24Mpts",Osciloscopio de 4 canales económico
1005,TEK-SN005,Tektronix,AFG1022,Generadores de Funciones,disponible,"2 canales, 25 MHz, 14 bits, formas de onda arbitrarias, modulación AM/FM",Generador de funciones arbitrarias
1006,SIG-SN006,Siglent,SDG1032X,Generadores de Funciones,disponible,"2 canales, 30 MHz, 16 bits, output de 20Vpp",Generador de funciones de alta precisión
1007,HP-SN007,Hewlett-Packard,E3631A,Fuentes de Poder,disponible,"Triple output: 0-6V/5A, 0-25V/1A, 0-25V/1A, regulación lineal",Fuente de poder triple salida
1008,KEY-SN008,Keysight,E3646A,Fuentes de Poder,disponible,"Dual output, 0-8V/5A o 0-20V/2.5A, interfaz GPIB, precisión 0.01%",Fuente de poder programable
1009,KEM-SN009,Kemet,LCR-600,Medidores LCR,disponible,"Rango: R: 0.1mΩ-100MΩ, C: 0.01pF-9999μF, L: 0.01μH-9999H, frecuencias de test: 100Hz-100kHz",Medidor de inductancia capacitancia resistencia
1010,HIO-SN010,Hioki,IM3523,Medidores LCR,disponible,"Rango: R: 1mΩ-100MΩ, C: 0.01pF-9999μF, L: 0.01μH-9999H, precisión básica 0.05%",Medidor LCR de alta precisión
1011,HAK-SN011,Hakko,FX-888D,Estaciones de Soldadura,disponible,"65W, temperatura: 50-480°C, control digital PID, incluye punta T18-K",Estación de soldadura digital
1012,WEL-SN012,Weller,WES51,Estaciones de Soldadura,disponible,"50W, temperatura: 350-850°F, control analógico, punta ET series",Estación de soldadura analógica
1013,FLIR-SN013,FLIR,EX-XT,Analizadores de Espectro,disponible,"Rango: 9Hz-2.0GHz, resolución 1Hz, DANL: -165dBm/Hz, preamplificador integrado",Analizador de espectro térmico
1014,RS-SN014,Rohde & Schwarz,FPC1500,Analizadores de Espectro,disponible,"5 kHz a 1 GHz, resolución 1 Hz, DANL: -155 dBm, tracking generator incluido",Analizador de espectro compacto
1015,MET-SN015,Metcal,PS-900,Soldadura Avanzada,disponible,"90W, tecnología SmartHeat, temperatura controlada por curie, recuperación instantánea",Estación de soldadura por inducción
1016,JBC-SN016,JBC,CD-1BE,Soldadura Avanzada,disponible,"130W, control de temperatura activo, sleep mode, punta C245 series",Estación de soldadura de precisión
1017,KEY-SN017,Keysight,34461A,Multímetros de Banco,disponible,"6.5 dígitos, precisión 0.0012%, medición de temperatura, conectividad USB/LAN",Multímetro de 6.5 dígitos
1018,KEI-SN018,Keithley,2100,Multímetros de Banco,disponible,"6.5 dígitos, 23 lecturas/segundo, interfaz USB, software Keithley KickStart",Multímetro de 6.5 dígitos USB
1019,RIG-SN019,Rigol,DP832,Fuentes de Poder,disponible,"3 canales: 30V/3A, 30V/3A, 5V/3A, bajo ripple, timing programable",Fuente de poder programable triple
1020,TEN-SN020,Tenma,72-10480,Fuentes de Poder,disponible,"0-30V, 0-10A, display LCD, protección OVP/OCP/OTP, ventilador silencioso",Fuente de poder switching DC
1021,SAL-SN021,Saleae,Logic Pro 16,Analizadores Lógicos,disponible,"16 canales, 500 MS/s, buffer 2GB, triggering avanzado, software multiplataforma",Analizador lógico USB de 16 canales
1022,DIG-SN022,Digilent,Analog Discovery 2,Analizadores Lógicos,disponible,"Osciloscopio 2Ch/30MHz, AWG 2Ch/12MHz, analizador lógico 16Ch, fuente de poder variable",Kit de instrumentos USB portátil
1023,POM-SN023,Pomona,6341,Accesorios de Medición,disponible,"10:1, 200 MHz, compensación ajustable, punta de resorte, cable 1.2m",Sonda de osciloscopio pasiva
1024,PM-SN024,Probe Master,4900,Accesorios de Medición,disponible,"100:1, 150 MHz, max 1500V CAT II, compensación ajustable",Sonda de alto voltaje
